RequestNo,ResponseTimeMs,StatusCode
1,995,200
2,256,200
3,207,200
4,180,200
5,151,200
6,166,200
7,160,200
8,166,200
9,191,200
10,103,200
11,945,200
12,275,200
13,207,200
14,191,200
15,156,200
16,157,200
17,165,200
18,174,200
19,189,200
20,162,200
21,951,200
22,260,200
23,212,200
24,178,200
25,153,200
26,159,200
27,165,200
28,171,200
29,184,200
30,162,200
31,894,200
32,286,200
33,224,200
34,192,200
35,157,200
36,164,200
37,167,200
38,168,200
39,192,200
40,156,200
41,975,200
42,259,200
43,105,200
44,203,200
45,159,200
46,156,200
47,166,200
48,161,200
49,189,200
50,179,200
51,1022,200
52,250,200
53,204,200
54,182,200
55,163,200
56,171,200
57,172,200
58,185,200
59,168,200
60,125,200
61,933,200
62,280,200
63,292,200
64,174,200
65,160,200
66,165,200
67,173,200
68,186,200
69,167,200
70,114,200
71,1014,200
72,244,200
73,212,200
74,166,200
75,155,200
76,162,200
77,163,200
78,193,200
79,172,200
80,146,200
81,796,200
82,316,200
83,239,200
84,195,200
85,167,200
86,161,200
87,163,200
88,169,200
89,185,200
90,229,200
91,838,200
92,311,200
93,225,200
94,198,200
95,159,200
96,154,200
97,173,200
98,168,200
99,182,200
100,213,200
101,996,200
102,257,200
103,270,200
104,175,200
105,160,200
106,181,200
107,169,200
108,184,200
109,164,200
110,87,200
111,836,200
112,306,200
113,234,200
114,191,200
115,164,200
116,158,200
117,244,200
118,187,200
119,171,200
120,142,200
121,965,200
122,267,200
123,222,200
124,174,200
125,152,200
126,163,200
127,163,200
128,164,200
129,114,200
130,167,200
131,928,200
132,280,200
133,217,200
134,184,200
135,152,200
136,156,200
137,166,200
138,165,200
139,186,200
140,163,200
141,912,200
142,280,200
143,219,200
144,185,200
145,149,200
146,161,200
147,165,200
148,159,200
149,173,200
150,167,200
151,975,200
152,259,200
153,214,200
154,89,200
155,164,200
156,166,200
157,157,200
158,166,200
159,192,200
160,160,200
161,996,200
162,257,200
163,206,200
164,180,200
165,159,200
166,168,200
167,164,200
168,180,200
169,173,200
170,165,200
171,862,200
172,299,200
173,222,200
174,190,200
175,157,200
176,159,200
177,169,200
178,169,200
179,179,200
180,161,200
181,795,200
182,312,200
183,241,200
184,268,200
185,158,200
186,159,200
187,161,200
188,161,200
189,111,200
190,174,200
191,839,200
192,308,200
193,228,200
194,197,200
195,156,200
196,159,200
197,166,200
198,162,200
199,256,200
200,103,200
201,872,200
202,295,200
203,225,200
204,189,200
205,164,200
206,156,200
207,97,200
208,235,200
209,185,200
210,167,200
211,878,200
212,293,200
213,228,200
214,189,200
215,227,200
216,162,200
217,171,200
218,189,200
219,168,200
220,131,200
221,974,200
222,260,200
223,219,200
224,170,200
225,155,200
226,163,200
227,160,200
228,164,200
229,184,200
230,158,200
231,850,200
232,304,200
233,230,200
234,188,200
235,104,200
236,162,200
237,168,200
238,173,200
239,180,200
240,167,200
241,1020,200
242,249,200
243,204,200
244,174,200
245,159,200
246,170,200
247,170,200
248,249,200
249,166,200
250,77,200
251,900,200
252,286,200
253,213,200
254,184,200
255,162,200
256,159,200
257,166,200
258,164,200
259,184,200
260,168,200
261,995,200
262,262,200
263,210,200
264,174,200
265,158,200
266,165,200
267,164,200
268,180,200
269,172,200
270,139,200
271,903,200
272,297,200
273,221,200
274,187,200
275,158,200
276,156,200
277,168,200
278,166,200
279,187,200
280,212,200
281,815,200
282,314,200
283,239,200
284,192,200
285,160,200
286,157,200
287,168,200
288,108,200
289,194,200
290,167,200
291,903,200
292,283,200
293,216,200
294,189,200
295,158,200
296,156,200
297,165,200
298,163,200
299,184,200
300,167,200
301,984,200
302,262,200
303,206,200
304,163,200
305,150,200
306,163,200
307,162,200
308,165,200
309,189,200
310,162,200
311,814,200
312,312,200
313,232,200
314,188,200
315,172,200
316,154,200
317,173,200
318,161,200
319,191,200
320,164,200
321,1006,200
322,250,200
323,93,200
324,195,200
325,166,200
326,156,200
327,170,200
328,166,200
329,132,200
330,165,200
331,882,200
332,288,200
333,142,200
334,197,200
335,173,200
336,163,200
337,233,200
338,171,200
339,113,200
340,166,200
341,882,200
342,296,200
343,220,200
344,187,200
345,155,200
346,161,200
347,167,200
348,103,200
349,251,200
350,164,200
351,950,200
352,276,200
353,209,200
354,181,200
355,159,200
356,166,200
357,156,200
358,171,200
359,183,200
360,155,200
361,794,200
362,323,200
363,232,200
364,194,200
365,168,200
366,157,200
367,178,200
368,163,200
369,120,200
370,165,200
371,861,200
372,302,200
373,226,200
374,189,200
375,156,200
376,158,200
377,166,200
378,167,200
379,184,200
380,164,200
381,950,200
382,273,200
383,208,200
384,188,200
385,157,200
386,167,200
387,169,200
388,167,200
389,248,200
390,114,200
391,855,200
392,295,200
393,224,200
394,191,200
395,157,200
396,160,200
397,171,200
398,166,200
399,189,200
400,175,200
401,946,200
402,265,200
403,213,200
404,188,200
405,156,200
406,160,200
407,162,200
408,163,200
409,118,200
410,172,200
411,793,200
412,322,200
413,337,200
414,90,200
415,161,200
416,161,200
417,169,200
418,169,200
419,132,200
420,167,200
421,899,200
422,288,200
423,216,200
424,189,200
425,157,200
426,160,200
427,168,200
428,172,200
429,184,200
430,166,200
431,920,200
432,277,200
433,122,200
434,206,200
435,167,200
436,162,200
437,166,200
438,162,200
439,194,200
440,104,200
441,814,200
442,313,200
443,230,200
444,196,200
445,157,200
446,153,200
447,157,200
448,169,200
449,191,200
450,167,200
451,972,200
452,264,200
453,215,200
454,175,200
455,157,200
456,166,200
457,167,200
458,192,200
459,174,200
460,147,200
461,924,200
462,282,200
463,215,200
464,181,200
465,148,200
466,164,200
467,94,200
468,170,200
469,187,200
470,160,200
471,808,200
472,317,200
473,223,200
474,283,200
475,154,200
476,164,200
477,164,200
478,158,200
479,243,200
480,126,200
481,921,200
482,267,200
483,309,200
484,173,200
485,160,200
486,227,200
487,168,200
488,239,200
489,155,200
490,49,200
491,828,200
492,312,200
493,232,200
494,190,200
495,160,200
496,159,200
497,104,200
498,216,200
499,182,200
500,166,200

TotalRequests,AvgResponseTimeMs,MaxResponseTimeMs,MinResponseTimeMs,SuccessRate%
500,258.54,1022,49,100.0
